GAME_ID,ABS_TIME,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,ABS_TIME
21400890.0,362.0,0021400890,41,PT05M58.00S,1,1610612747,LAL,203903,Clarkson,J. Clarkson,-108,246,27,Missed,1,,,0,v,MISS Clarkson 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,40,362.0
21400890.0,373.0,0021400890,43,PT05M47.00S,1,1610612766,CHA,203469,Zeller,C. Zeller,-10,9,1,Made,1,14,14,28,h,Zeller 1' Layup (4 PTS) (Henderson 2 AST),Made Shot,Layup Shot,1,0,42,373.0
21400890.0,385.0,0021400890,49,PT05M35.00S,1,1610612747,LAL,203135,Sacre,R. Sacre,-27,148,15,Made,1,15,16,31,v,Sacre 15' Jump Shot (4 PTS) (Lin 1 AST),Made Shot,Jump Shot,1,0,46,385.0
21400890.0,401.0,0021400890,50,PT05M19.00S,1,1610612766,CHA,2590,Williams,M. Williams,100,101,14,Missed,1,,,0,h,MISS Mo. Williams 14' Jump Shot,Missed Shot,Jump Shot,1,0,47,401.0
21400890.0,416.0,0021400890,52,PT05M04.00S,1,1610612747,LAL,202391,Lin,J. Lin,-64,249,26,Made,1,15,19,34,v,Lin 26' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,0,49,416.0
21400890.0,433.0,0021400890,53,PT04M47.00S,1,1610612766,CHA,2744,Jefferson,A. Jefferson,40,148,15,Missed,1,,,0,h,MISS Jefferson 15' Jump Shot,Missed Shot,Jump Shot,1,0,50,433.0
21400890.0,438.0,0021400890,55,PT04M42.00S,1,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,10,4,1,Made,1,17,19,36,h,Kidd-Gilchrist 1' Driving Layup (2 PTS) (Zeller 2 AST),Made Shot,Driving Layup Shot,1,0,52,438.0
21400890.0,452.0,0021400890,56,PT04M28.00S,1,1610612747,LAL,2430,Boozer,C. Boozer,-90,67,11,Made,1,17,21,38,v,Boozer 11' Jump Shot (2 PTS) (Lin 2 AST),Made Shot,Jump Shot,1,0,53,452.0
21400890.0,477.0,0021400890,63,PT04M03.00S,1,1610612747,LAL,203903,Clarkson,J. Clarkson,0,165,17,Missed,1,,,0,v,MISS Clarkson 17' Driving Jump Shot,Missed Shot,Driving Jump shot,1,0,60,477.0
21400890.0,482.0,0021400890,65,PT03M58.00S,1,1610612766,CHA,2590,Williams,M. Williams,-134,26,14,Made,1,19,21,40,h,Mo. Williams 14' Jump Shot (4 PTS),Made Shot,Jump Shot,1,0,62,482.0
21400890.0,497.0,0021400890,69,PT03M43.00S,1,1610612747,LAL,201941,Hill,J. Hill,-157,19,16,Missed,1,,,0,v,MISS Hill 16' Jump Shot,Missed Shot,Jump Shot,1,0,65,497.0
21400890.0,504.0,0021400890,71,PT03M36.00S,1,1610612766,CHA,2590,Williams,M. Williams,-18,4,2,Made,1,22,21,43,h,Mo. Williams 2' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,1,0,67,504.0
21400890.0,524.0,0021400890,73,PT03M16.00S,1,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,1,3,0,Made,1,24,21,45,h,Kidd-Gilchrist Layup (4 PTS),Made Shot,Layup Shot,1,0,70,524.0
21400890.0,542.0,0021400890,74,PT02M58.00S,1,1610612747,LAL,201941,Hill,J. Hill,-46,183,19,Missed,1,,,0,v,MISS Hill 19' Jump Shot,Missed Shot,Jump Shot,1,0,71,542.0
21400890.0,566.0,0021400890,77,PT02M34.00S,1,1610612747,LAL,202391,Lin,J. Lin,168,34,17,Made,1,24,23,47,v,Lin 17' Jump Shot (5 PTS),Made Shot,Jump Shot,1,0,75,566.0
21400890.0,583.0,0021400890,78,PT02M17.00S,1,1610612766,CHA,101107,Williams,M. Williams,65,252,26,Missed,1,,,0,h,MISS Ma. Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,76,583.0
21400890.0,596.0,0021400890,80,PT02M04.00S,1,1610612747,LAL,203903,Clarkson,J. Clarkson,162,200,26,Made,1,24,26,50,v,Clarkson 26' 3PT Jump Shot (7 PTS) (Lin 3 AST),Made Shot,Jump Shot,1,0,78,596.0
21400890.0,617.0,0021400890,89,PT01M43.00S,1,1610612766,CHA,2590,Williams,M. Williams,70,157,17,Missed,1,,,0,h,MISS Mo. Williams 17' Jump Shot,Missed Shot,Jump Shot,1,0,83,617.0
21400890.0,633.0,0021400890,91,PT01M27.00S,1,1610612747,LAL,203903,Clarkson,J. Clarkson,47,175,18,Made,1,24,28,52,v,Clarkson 18' Jump Shot (9 PTS),Made Shot,Jump Shot,1,0,85,633.0
21400890.0,658.0,0021400890,92,PT01M02.00S,1,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,23,3,2,Missed,1,,,0,h,MISS Kidd-Gilchrist 2' Layup,Missed Shot,Layup Shot,1,0,86,658.0
21400890.0,662.0,0021400890,94,PT00M58.80S,1,1610612747,LAL,202325,Johnson,W. Johnson,0,1,0,Made,1,24,30,54,v,Johnson Alley Oop Dunk (2 PTS) (Clarkson 2 AST),Made Shot,Alley Oop Dunk Shot,1,0,89,661.2
21400890.0,683.0,0021400890,95,PT00M37.80S,1,1610612766,CHA,101107,Williams,M. Williams,-232,33,0,Made,1,27,30,57,h,Ma. Williams 3PT Jump Shot (3 PTS) (Roberts 1 AST),Made Shot,Jump Shot,1,0,90,682.2
21400890.0,690.0,0021400890,96,PT00M30.90S,1,1610612747,LAL,202391,Lin,J. Lin,-24,189,19,Missed,1,,,0,v,MISS Lin 19' Jump Shot,Missed Shot,Jump Shot,1,0,91,689.1
