PLAYER_NAME,HEIGHT,PLAYER_ID
Justin Hamilton,7-0,203120
Justin Holiday,6-6,203200
KJ McDaniels,6-6,203909
Kalin Lucas,6-1,203564
Kawhi Leonard,6-7,202695
Kelly Olynyk,6-11,203482
Kemba Walker,6-0,202689
Kendall Marshall,6-4,203088
Kendrick Perkins,6-10,2570
Kenneth Faried,6-8,202702
Kent Bazemore,6-4,203145
Kentavious Caldwell-Pope,6-5,203484
Kenyon Martin,6-9,2030
Kevin Durant,6-11,201142
Kevin Garnett,6-11,708
Kevin Love,6-8,201567
Kevin Martin,6-7,2755
Kevin Seraphin,6-10,202338
Khris Middleton,6-7,203114
Kirk Hinrich,6-4,2550
Klay Thompson,6-5,202691
Kobe Bryant,6-6,977
Kosta Koufos,7-0,201585
Kostas Papanikolaou,6-8,203123
Kris Humphries,6-9,2743
Kyle Anderson,6-9,203937
Kyle Korver,6-7,2594
Kyle Lowry,6-0,200768
Kyle O'Quinn,6-9,203124
Kyle Singler,6-8,202713
Kyrie Irving,6-2,202681
LaMarcus Aldridge,6-11,200746
Lance Stephenson,6-5,202362
Lance Thomas,6-8,202498
Landry Fields,6-7,202361
Langston Galloway,6-1,204038
Larry Drew II,6-2,203580
Larry Sanders,6-11,202336
Lavoy Allen,6-9,202730
LeBron James,6-9,2544
Leandro Barbosa,6-3,2571
Lester Hudson,6-3,201991
Lorenzo Brown,6-5,203485
Lou Amundson,6-9,200811
Lou Williams,6-2,101150
Luc Mbah a Moute,6-8,201601
Lucas Nogueira,7-0,203512
Luis Scola,6-9,2449
Luke Babbitt,6-9,202337
Luke Ridnour,6-2,2557
Luol Deng,6-9,2736
Malcolm Lee,6-5,202723
Malcolm Thomas,6-9,202952
Manu Ginobili,6-6,1938
Marc Gasol,6-11,201188
Marcin Gortat,6-11,101162
Marco Belinelli,6-5,201158
Marcus Morris Sr.,6-8,202694
Marcus Smart,6-3,203935
Marcus Thornton,6-4,201977
Mario Chalmers,6-2,201596
Markel Brown,6-3,203900
Markieff Morris,6-9,202693
Marreese Speights,6-10,201578
Martell Webster,6-7,101110
Marvin Williams,6-8,101107
Mason Plumlee,6-10,203486
Matt Barnes,6-7,2440
Matt Bonner,6-10,2588
Matthew Dellavedova,6-3,203521
Maurice Harkless,6-7,203090
Meyers Leonard,7-0,203086
Michael Beasley,6-9,201563
Michael Carter-Williams,6-5,203487
Michael Kidd-Gilchrist,6-6,203077
Mike Conley,6-0,201144
Mike Dunleavy,6-9,2399
Mike Miller,6-8,2034
Mike Muscala,6-10,203488
Mike Scott,6-7,203118
Miles Plumlee,6-11,203101
Miroslav Raduljica,7-0,203545
Mirza Teletovic,6-9,203141
Mitch McGary,6-10,203956
Mo Williams,6-1,2590
Monta Ellis,6-3,101145
Nate Robinson,5-9,101126
Nate Wolters,6-4,203489
Nazr Mohammed,6-10,1737
Nene,6-11,2403
Nerlens Noel,6-10,203457
Nick Calathes,6-6,201979
Nick Collison,6-10,2555
Nick Johnson,6-3,203910
Nick Young,6-7,201156
Nicolas Batum,6-8,201587
Nik Stauskas,6-6,203917
Nikola Mirotic,6-10,202703
Nikola Pekovic,6-11,201593
Noah Vonleh,6-10,203943
Norris Cole,6-2,202708
O.J. Mayo,6-5,201564
Ognjen Kuzmic,7-0,203136
Omer Asik,7-0,201600
Omri Casspi,6-9,201956
Otto Porter Jr.,6-8,203490
P.J. Tucker,6-5,200782
PJ Hairston,6-6,203798
Pablo Prigioni,6-3,203143
Patrick Beverley,6-2,201976
Patrick Christopher,,203565
Patrick Patterson,6-8,202335
Patty Mills,6-2,201988
Pau Gasol,7-0,2200
Paul George,6-8,202331
Paul Millsap,6-7,200794
Paul Pierce,6-7,1718
Pero Antic,6-11,203544
Perry Jones III,6-11,203103
Phil Pressey,5-11,203515
Quincy Acy,6-7,203112
Quincy Miller,6-9,203113
Quincy Pondexter,6-7,202347
Rajon Rondo,6-1,200765
Ramon Sessions,6-3,201196
Randy Foye,6-4,200751
Rasual Butler,6-7,2446
Ray McCallum,6-3,203492
Raymond Felton,6-1,101109
Reggie Evans,6-8,2501
Reggie Jackson,6-2,202704
Reggie Williams,6-6,202130
Richard Jefferson,6-7,2210
Ricky Ledo,6-7,203495
Ricky Rubio,6-2,201937
Robbie Hummel,6-9,203133
Robert Covington,6-7,203496
Robert Sacre,7-0,203135
Robin Lopez,7-1,201577
Rodney Hood,6-8,203918
Rodney Stuckey,6-5,201155
Ronnie Price,6-2,101179
Roy Hibbert,7-2,201579
Rudy Gay,6-8,200752
Rudy Gobert,7-1,203497
Russ Smith,6-0,203893
Russell Westbrook,6-4,201566
Ryan Anderson,6-9,201583
Ryan Hollins,7-0,200797
Ryan Kelly,6-11,203527
Samuel Dalembert,6-11,2223
Sean Kilpatrick,6-4,203930
Sebastian Telfair,6-0,2742
Serge Ibaka,6-11,201586
Sergey Karasev,6-7,203508
Seth Curry,6-1,203552
Shabazz Muhammad,6-6,203498
Shabazz Napier,6-0,203894
Shane Larkin,5-11,203499
Shannon Brown,6-3,200769
Shaun Livingston,6-7,2733
Shavlik Randolph,6-10,101183
Shawn Marion,6-7,1890
Shawne Williams,6-10,200761
Shayne Whittington,6-11,203963
Shelvin Mack,6-3,202714
Sim Bhullar,7-5,204021
Solomon Hill,6-6,203524
Spencer Dinwiddie,6-5,203915
Spencer Hawes,7-1,201150
Stephen Curry,6-2,201939
Steve Blake,6-3,2581
Steve Novak,6-10,200779
Steven Adams,6-11,203500
T.J. Warren,6-8,203933
Taj Gibson,6-9,201959
Tarik Black,6-9,204028
Tayshaun Prince,6-9,2419
Terrence Jones,6-9,203093
Terrence Ross,6-7,203082
Thabo Sefolosha,6-6,200757
Thaddeus Young,6-8,201152
Thomas Robinson,6-10,203080
Tiago Splitter,6-11,201168
Tim Duncan,6-11,1495
Tim Frazier,6-0,204025
Tim Hardaway Jr.,6-5,203501
Timofey Mozgov,7-1,202389
Tobias Harris,6-8,202699
Toney Douglas,6-2,201962
Tony Allen,6-4,2754
Tony Parker,6-2,2225
Tony Snell,6-6,203503
Tony Wroten,6-6,203100
Toure' Murry,6-5,203315
Travis Wear,6-10,204037
Trevor Ariza,6-8,2772
Trevor Booker,6-8,202344
Trey Burke,6-0,203504
Tristan Thompson,6-9,202684
Troy Daniels,6-4,203584
Ty Lawson,5-11,201951
Tyler Ennis,6-3,203898
Tyler Hansbrough,,201946
Tyler Johnson,6-3,204020
Tyler Zeller,6-11,203092
Tyreke Evans,6-6,201936
Tyrus Thomas,6-10,200748
Tyson Chandler,7-0,2199
Udonis Haslem,6-7,2617
Vander Blue,6-5,203505
Victor Claver,,201964
Victor Oladipo,6-3,203506
Vince Carter,6-6,1713
Wayne Ellington,6-4,201961
Wesley Johnson,6-7,202325
Wesley Matthews,6-5,202083
Will Barton,6-5,203115
Will Bynum,6-0,101198
Will Cherry,,203805
Willie Green,6-3,2584
Wilson Chandler,6-8,201163
Xavier Henry,6-6,202333
Zach LaVine,6-5,203897
Zach Randolph,6-9,2216
Zaza Pachulia,6-11,2585
Zoran Dragic,6-5,204054
