PLAYER_NAME,HEIGHT
Josh McRoberts,6-10
Josh Smith,6-9
Jrue Holiday,6-4
Julius Randle,6-9
Justin Hamilton,7-0
Justin Holiday,6-6
Jusuf Nurkić,7-0
KJ McDaniels,6-6
Kalin Lucas,6-1
Kawhi Leonard,6-7
Kelly Olynyk,6-11
Kemba Walker,6-0
Kendall Marshall,6-4
Kendrick Perkins,6-10
Kenneth Faried,6-8
Kent Bazemore,6-4
Kentavious Caldwell-Pope,6-5
Kenyon Martin,6-9
Kevin Durant,6-11
Kevin Garnett,6-11
Kevin Love,6-8
Kevin Martin,6-7
Kevin Seraphin,6-10
Khris Middleton,6-7
Kirk Hinrich,6-4
Klay Thompson,6-5
Kobe Bryant,6-6
Kosta Koufos,7-0
Kostas Papanikolaou,6-8
Kris Humphries,6-9
Kyle Anderson,6-9
Kyle Korver,6-7
Kyle Lowry,6-0
Kyle O'Quinn,6-9
Kyle Singler,6-8
Kyrie Irving,6-2
LaMarcus Aldridge,6-11
Lance Stephenson,6-5
Lance Thomas,6-8
Landry Fields,6-7
Langston Galloway,6-1
Larry Drew II,6-2
Larry Sanders,6-11
Lavoy Allen,6-9
LeBron James,6-9
Leandro Barbosa,6-3
Lester Hudson,6-3
Lorenzo Brown,6-5
Lou Amundson,6-9
Lou Williams,6-2
Luc Mbah a Moute,6-8
Lucas Nogueira,7-0
Luis Scola,6-9
Luke Babbitt,6-9
Luke Ridnour,6-2
Luol Deng,6-9
Malcolm Lee,6-5
Malcolm Thomas,6-9
Manu Ginobili,6-6
Marc Gasol,6-11
Marcin Gortat,6-11
Marco Belinelli,6-5
Marcus Morris Sr.,6-8
Marcus Smart,6-3
Marcus Thornton,6-4
Mario Chalmers,6-2
Markel Brown,6-3
Markieff Morris,6-9
Marreese Speights,6-10
Martell Webster,6-7
Marvin Williams,6-8
Mason Plumlee,6-10
Matt Barnes,6-7
Matt Bonner,6-10
Matthew Dellavedova,6-3
Maurice Harkless,6-7
Meyers Leonard,7-0
Michael Beasley,6-9
Michael Carter-Williams,6-5
Michael Kidd-Gilchrist,6-6
Mike Conley,6-0
Mike Dunleavy,6-9
Mike Miller,6-8
Mike Muscala,6-10
Mike Scott,6-7
Miles Plumlee,6-11
Miroslav Raduljica,7-0
Mirza Teletovic,6-9
Mitch McGary,6-10
Mo Williams,6-1
Monta Ellis,6-3
Nate Robinson,5-9
Nate Wolters,6-4
Nazr Mohammed,6-10
Nene,6-11
Nerlens Noel,6-10
Nick Calathes,6-6
Nick Collison,6-10
Nick Johnson,6-3
Nick Young,6-7
